GeneID	GSM7887562	GSM7887563	GSM7887564	GSM7887565	GSM7887566	GSM7887567
100287102	1	2	1	2	1	1
653635	456	445	471	520	496	532
102466751	20	16	19	17	18	22
107985730	1	1	1	0	1	2
100302278	0	0	0	0	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	71	43	67	64	58	54
729737	957	933	1035	1417	1413	1608
102725121	2	7	6	4	1	7
102723897	522	513	515	562	564	570
102465909	4	4	5	7	7	8
107985721	2	4	4	2	3	4
112268260	29	29	26	34	29	24
729759	2	0	1	1	0	1
100132287	543	492	538	642	679	717
105378947	7	10	5	10	6	6
101928626	1	0	0	0	0	0
113219467	1917	1601	2589	1733	1895	2109
81399	4	3	5	4	3	4
100133331	402	356	413	490	465	487
107984841	172	143	145	153	157	178
107984847	261	290	249	251	250	275
107984849	64	101	83	63	63	89
100288069	90	65	80	76	79	99
105378580	26	30	27	28	31	26
400728	18	6	14	15	18	9
79854	24	44	41	44	42	41
643837	1287	1217	1213	1237	1100	1238
107984850	1	1	2	4	1	0
284593	6	4	5	3	1	1
284600	135	156	154	176	171	212
100130417	87	92	92	81	91	93
107985728	78	58	90	83	70	105
148398	223	209	208	257	256	272
26155	1331	1372	1660	1794	1700	1844
339451	145	152	188	123	137	143
84069	195	177	234	203	205	220
84808	70	51	64	43	44	54
57801	547	494	653	734	770	752
9636	242	253	311	332	367	317
375790	6838	6584	8205	9186	9111	9603
100288175	27	19	25	19	15	19
112267874	18	20	23	19	10	13
105378948	39	43	43	28	32	25
401934	42	39	40	27	32	26
54991	192	170	237	248	240	246
254099	0	0	1	0	0	0
406984	0	1	0	2	0	0
406983	1	0	0	0	1	0
554210	1	3	1	0	0	1
100506376	0	0	3	0	0	0
254173	0	1	2	1	1	0
8784	1	2	0	2	2	2
7293	0	2	2	1	5	0
51150	2497	2453	2827	2771	2915	2892
126792	522	599	525	543	528	553
388581	15	20	18	21	31	19
118424	658	605	675	700	739	773
101928895	25	17	29	40	43	30
6339	59	62	89	74	80	80
116983	701	685	841	827	860	893
102465434	1	0	0	0	0	1
109623456	3	3	3	6	5	8
126789	213	230	273	255	244	239
54973	1293	1192	1411	1451	1432	1476
102465435	3	3	3	5	3	8
80772	470	526	626	692	700	806
83756	19	19	23	21	16	16
1855	1132	1134	1346	1243	1311	1307
102466740	2	1	3	1	1	1
54587	2580	2648	3052	2589	2671	2652
54998	1427	1352	1639	1668	1657	1678
81669	3065	2990	2998	3408	3169	3197
148413	380	381	379	410	405	433
55052	1142	1127	1085	1176	1101	1213
107984868	7	4	5	5	4	4
441869	99	71	93	103	90	98
105378585	9	6	6	8	5	5
643965	6	3	5	1	8	9
102724312	115	101	135	135	124	118
107985729	67	58	65	74	80	54
64856	1051	1061	1341	1487	1440	1481
219293	33	23	26	33	26	27
83858	475	454	561	577	597	561
55210	638	677	746	691	729	737
339453	69	57	79	62	55	68
29101	1749	1648	1641	1934	1876	1979
643988	554	530	556	546	581	630
105378586	47	50	42	55	58	60
142678	1478	1385	1860	2027	2097	2090
8510	419	424	553	334	356	377
984	855	867	1026	865	836	937
728661	1904	1759	1799	1526	1456	1601
8511	307	322	403	231	255	254
728642	537	519	685	626	575	626
9906	926	888	864	780	747	736
112268218	53	54	52	71	57	62
65220	653	625	659	703	710	711
2782	4500	4566	4804	4236	4033	4062
105378949	26	17	23	42	31	28
163688	5	10	8	11	16	15
339456	58	61	71	47	44	58
85452	88	88	97	60	64	65
107984872	10	3	6	3	2	4
105378589	5	4	7	4	6	9
2563	22	23	37	25	26	26
105378590	1	2	1	0	0	1
105378591	1	0	2	0	0	0
5590	977	968	1085	810	818	815
100506504	61	55	72	64	55	54
199990	802	792	926	1043	1060	1060
112268219	110	79	101	118	93	108
105378593	1	2	2	1	0	2
6497	1559	1503	1628	1348	1266	1432
79906	102	96	111	103	98	128
100129534	30	26	30	28	35	32
11079	1829	1766	1757	1741	1782	1787
5192	396	403	436	433	474	474
